x,y,z,type,volume,cycle entry,custom:GFP,custom:sample
622.4226395,385.13856826382835,0,wall,,,,
622.4226395,399.70981036225567,0,wall,,,,
622.4226395,414.2810525,0,wall,,,,
622.4226395,428.8522945591103,0,wall,,,,
622.4226395,443.4235366575376,0,wall,,,,
622.4226395,457.99477875596494,0,wall,,,,
622.4226395,472.56602085439226,0,wall,,,,
622.4226395,487.1372629528196,0,wall,,,,
622.4226395,501.7085050512469,0,wall,,,,
622.4226395,516.2797471496742,0,wall,,,,
622.4226395,530.8509892481015,0,wall,,,,
622.4226395,545.4222313465289,0,wall,,,,
622.4226395,559.9934734449562,0,wall,,,,
622.4226395,574.5647155433835,0,wall,,,,
622.4226395,589.1359576418108,0,wall,,,,
622.4226395,603.7071997402381,0,wall,,,,
622.4226395,618.2784418386655,0,wall,,,,
622.4226395,632.8496839370928,0,wall,,,,
622.4226395,647.4209260355201,0,wall,,,,
622.4226395,661.9921681339474,0,wall,,,,
622.4226395,676.5634102323747,0,wall,,,,
622.4226395,691.1346523,0,wall,,,,
622.4226395,705.7058944292294,0,wall,,,,
622.4226395,720.2771365276567,0,wall,,,,
622.4226395,734.8483786,0,wall,,,,
622.4226395,749.4196207245113,0,wall,,,,
622.4226395,763.9908628229387,0,wall,,,,
622.4226395,778.5621049,0,wall,,,,
622.4226395,793.1333470197933,0,wall,,,,
622.4226395,807.7045891182206,0,wall,,,,
622.4226395,822.2758312166479,0,wall,,,,
622.4226395,836.8470733150752,0,wall,,,,
622.4226395,851.4183154135026,0,wall,,,,
622.4226395,865.9895575119299,0,wall,,,,
622.4226395,880.5607996103572,0,wall,,,,
622.4226395,895.1320417087845,0,wall,,,,
622.4226395,909.7032838072118,0,wall,,,,
622.4226395,924.2745259056392,0,wall,,,,
622.4226395,938.8457680040665,0,wall,,,,
622.4226395,953.4170101024938,0,wall,,,,
622.4226395,967.9882522009211,0,wall,,,,
-622.4226395,-160,0,wall,,,,
-622.4226395,-145.4287579,0,wall,,,,
-622.4226395,-130.8575158,0,wall,,,,
-622.4226395,-116.2862737,0,wall,,,,
-622.4226395,-101.7150316,0,wall,,,,
-622.4226395,-87.14378951,0,wall,,,,
-622.4226395,-72.57254741,0,wall,,,,
-622.4226395,-58.00130531,0,wall,,,,
-622.4226395,-43.43006321,0,wall,,,,
-622.4226395,-28.85882111,0,wall,,,,
-622.4226395,-14.28757902,0,wall,,,,
-622.4226395,0.28366308270051377,0,wall,,,,
-622.4226395,14.854905181127833,0,wall,,,,
-622.4226395,29.426147279555153,0,wall,,,,
-622.4226395,43.99738937798247,0,wall,,,,
-622.4226395,58.56863147640979,0,wall,,,,
-622.4226395,73.13987357483711,0,wall,,,,
-622.4226395,87.71111567326443,0,wall,,,,
-622.4226395,102.28235777169175,0,wall,,,,
-622.4226395,116.85359987011907,0,wall,,,,
-622.4226395,131.4248419685464,0,wall,,,,
-622.4226395,145.9960840669737,0,wall,,,,
-622.4226395,160.56732616540103,0,wall,,,,
-622.4226395,175.13856826382835,0,wall,,,,
-622.4226395,189.70981036225567,0,wall,,,,
-622.4226395,204.2810525,0,wall,,,,
-622.4226395,218.8522945591103,0,wall,,,,
-622.4226395,233.42353665753762,0,wall,,,,
-622.4226395,247.99477875596494,0,wall,,,,
-622.4226395,262.56602085439226,0,wall,,,,
-622.4226395,277.1372629528196,0,wall,,,,
-622.4226395,291.7085050512469,0,wall,,,,
-622.4226395,306.2797471496742,0,wall,,,,
-622.4226395,320.85098924810154,0,wall,,,,
-622.4226395,335.42223134652886,0,wall,,,,
-622.4226395,349.9934734449562,0,wall,,,,
-622.4226395,364.5647155433835,0,wall,,,,
-622.4226395,379.1359576418108,0,wall,,,,
-622.4226395,393.70719974023814,0,wall,,,,
-622.4226395,408.27844183866546,0,wall,,,,
-622.4226395,422.8496839370928,0,wall,,,,
-622.4226395,437.4209260355201,0,wall,,,,
-622.4226395,451.9921681339474,0,wall,,,,
-622.4226395,466.56341023237474,0,wall,,,,
-622.4226395,481.13465233080206,0,wall,,,,
-622.4226395,495.7058944292294,0,wall,,,,
-622.4226395,510.2771365276567,0,wall,,,,
-622.4226395,524.8483786,0,wall,,,,
-622.4226395,539.4196207245113,0,wall,,,,
-622.4226395,553.9908628229387,0,wall,,,,
-622.4226395,568.5621049,0,wall,,,,
-622.4226395,583.1333470197933,0,wall,,,,
-622.4226395,597.7045891182206,0,wall,,,,
-622.4226395,612.2758312166479,0,wall,,,,
-622.4226395,626.8470733150752,0,wall,,,,
-622.4226395,641.4183154135026,0,wall,,,,
-622.4226395,655.9895575119299,0,wall,,,,
-622.4226395,670.5607996103572,0,wall,,,,
-622.4226395,685.1320417087845,0,wall,,,,
-622.4226395,699.7032838072118,0,wall,,,,
-622.4226395,714.2745259056392,0,wall,,,,
-622.4226395,728.8457680040665,0,wall,,,,
-622.4226395,743.4170101024938,0,wall,,,,
-622.4226395,757.9882522009211,0,wall,,,,
-622.4226395,772.5594942993484,0,wall,,,,
-622.4226395,787.1307363977758,0,wall,,,,
-622.4226395,801.7019784962031,0,wall,,,,
-622.4226395,816.2732205946304,0,wall,,,,
-622.4226395,830.8444626930577,0,wall,,,,
-622.4226395,845.4157048,0,wall,,,,
-622.4226395,859.9869468899124,0,wall,,,,
-622.4226395,874.5581889883397,0,wall,,,,
-622.4226395,889.1294311,0,wall,,,,
-622.4226395,903.7006731851943,0,wall,,,,
-622.4226395,918.2719152836216,0,wall,,,,
-622.4226395,932.8431574,0,wall,,,,
-622.4226395,947.4143994804763,0,wall,,,,
-599.082572,-57.7057,0,pial,,,,
-591.041195,-56.643005,0,pial,,,,
-582.999818,-55.511118,0,pial,,,,
-574.958442,-54.312203,0,pial,,,,
-566.917065,-53.048369,0,pial,,,,
-558.875688,-51.721666,0,pial,,,,
-550.834311,-50.334091,0,pial,,,,
-542.792934,-48.887588,0,pial,,,,
-534.751558,-47.384046,0,pial,,,,
-526.710181,-45.825304,0,pial,,,,
-518.668804,-44.213151,0,pial,,,,
-510.627427,-42.549327,0,pial,,,,
-502.58605,-40.835522,0,pial,,,,
-494.544674,-39.073382,0,pial,,,,
-486.503297,-37.264505,0,pial,,,,
-478.46192,-35.410447,0,pial,,,,
-470.420543,-33.512717,0,pial,,,,
-462.379166,-31.572784,0,pial,,,,
-454.33779,-29.592076,0,pial,,,,
-446.296413,-27.57198,0,pial,,,,
-438.255036,-25.513845,0,pial,,,,
-430.213659,-23.418981,0,pial,,,,
-422.172282,-21.288664,0,pial,,,,
-414.130906,-19.124131,0,pial,,,,
-406.089529,-16.926587,0,pial,,,,
