x,y,z,type,volume,cycle entry,custom:GFP,custom:sample
533.514423,82.830918,0,apical,,,,
548.978609,78.93457,0,apical,,,,
564.442795,74.382391,0,apical,,,,
579.906981,69.139641,0,apical,,,,
595.371167,63.170302,0,apical,,,,
610.835354,56.437059,0,apical,,,,
-610.83535,-188.05098,0,apical,,,,
-595.37117,-186.00159,0,apical,,,,
-579.90698,-183.71558,0,apical,,,,
-564.4428,-181.20672,0,apical,,,,
-548.97861,-178.48811,0,apical,,,,
-533.51442,-175.57219,0,apical,,,,
-518.05024,-172.47077,0,apical,,,,
-502.58605,-169.19507,0,apical,,,,
-487.12186,-165.75573,0,apical,,,,
-471.65768,-162.16281,0,apical,,,,
-456.19349,-158.4259,0,apical,,,,
-440.72931,-154.55406,0,apical,,,,
-425.26512,-150.55588,0,apical,,,,
-409.80093,-146.43952,0,apical,,,,
-394.33675,-142.21271,0,apical,,,,
-378.87256,-137.8828,0,apical,,,,
-363.40838,-133.45678,0,apical,,,,
-347.94419,-128.94129,0,apical,,,,
-332.48,-124.34265,0,apical,,,,
-317.01582,-119.66693,0,apical,,,,
-301.55163,-114.919898,0,apical,,,,
-286.08744,-110.107123,0,apical,,,,
-270.62326,-105.233953,0,apical,,,,
-255.15907,-100.305563,0,apical,,,,
-239.69489,-95.32697,0,apical,,,,
-224.2307,-90.303069,0,apical,,,,
-208.76651,-85.238653,0,apical,,,,
-193.30233,-80.138442,0,apical,,,,
-177.83814,-75.007108,0,apical,,,,
-162.37396,-69.849304,0,apical,,,,
-146.90977,-64.669689,0,apical,,,,
-131.44558,-59.472951,0,apical,,,,
-115.9814,-54.263841,0,apical,,,,
-100.51721,-49.047191,0,apical,,,,
-85.053024,-43.827949,0,apical,,,,
-69.588838,-38.611196,0,apical,,,,
-54.124652,-33.402181,0,apical,,,,
-38.660465,-28.206343,0,apical,,,,
-23.196279,-23.029336,0,apical,,,,
-7.732093,-17.877062,0,apical,,,,
7.732093,-12.755689,0,apical,,,,
23.196279,-7.671684,0,apical,,,,
38.660465,-2.631835,0,apical,,,,
54.124652,2.35672,0,apical,,,,
69.588838,7.286465,0,apical,,,,
85.053024,12.149485,0,apical,,,,
100.51721,16.937434,0,apical,,,,
115.981396,21.641513,0,apical,,,,
131.445582,26.25244,0,apical,,,,
146.909769,30.760424,0,apical,,,,
162.373955,35.155143,0,apical,,,,
177.838141,39.425712,0,apical,,,,
193.302327,43.560658,0,apical,,,,
208.766513,47.547896,0,apical,,,,
224.230699,51.374701,0,apical,,,,
239.694886,55.027679,0,apical,,,,
255.159072,58.492746,0,apical,,,,
270.623258,61.755098,0,apical,,,,
286.087444,64.799184,0,apical,,,,
301.55163,67.608681,0,apical,,,,
317.015816,70.166469,0,apical,,,,
332.480003,72.454601,0,apical,,,,
347.944189,74.45428,0,apical,,,,
363.408375,76.145829,0,apical,,,,
378.872561,77.508669,0,apical,,,,
394.336747,78.521289,0,apical,,,,
409.800933,79.16122,0,apical,,,,
425.26512,79.405012,0,apical,,,,
440.729306,79.228202,0,apical,,,,
456.193492,78.605293,0,apical,,,,
471.657678,77.509721,0,apical,,,,
487.121864,75.913839,0,apical,,,,
502.58605,73.788877,0,apical,,,,
518.050237,71.10493,0,apical,,,,
533.514423,67.830918,0,apical,,,,
548.978609,63.93457,0,apical,,,,
564.442795,59.382391,0,apical,,,,
579.906981,54.139641,0,apical,,,,
595.371167,48.170302,0,apical,,,,
610.835354,41.437059,0,apical,,,,
622.4226395,50,0,wall,,,,
622.4226395,64.57124209842732,0,wall,,,,
622.4226395,79.14248419685464,0,wall,,,,
622.4226395,93.71372629528196,0,wall,,,,
622.4226395,108.28496839370928,0,wall,,,,
622.4226395,122.8562104921366,0,wall,,,,
622.4226395,137.42745259056392,0,wall,,,,
622.4226395,151.99869468899124,0,wall,,,,
622.4226395,166.56993678741856,0,wall,,,,
622.4226395,181.14117888584587,0,wall,,,,
622.4226395,195.7124209842732,0,wall,,,,
622.4226395,210.2836630827005,0,wall,,,,
622.4226395,224.85490518112783,0,wall,,,,
622.4226395,239.42614727955515,0,wall,,,,
622.4226395,253.99738937798247,0,wall,,,,
622.4226395,268.5686314764098,0,wall,,,,
622.4226395,283.1398735748371,0,wall,,,,
622.4226395,297.71111567326443,0,wall,,,,
622.4226395,312.28235777169175,0,wall,,,,
622.4226395,326.85359987011907,0,wall,,,,
622.4226395,341.4248419685464,0,wall,,,,
622.4226395,355.9960840669737,0,wall,,,,
622.4226395,370.5673262,0,wall,,,,
622.4226395,385.13856826382835,0,wall,,,,
622.4226395,399.70981036225567,0,wall,,,,
622.4226395,414.2810525,0,wall,,,,
622.4226395,428.8522945591103,0,wall,,,,
622.4226395,443.4235366575376,0,wall,,,,
622.4226395,457.99477875596494,0,wall,,,,
622.4226395,472.56602085439226,0,wall,,,,
622.4226395,487.1372629528196,0,wall,,,,
622.4226395,501.7085050512469,0,wall,,,,
